product_id,title,category,price,rating,review_count,purchased_last_month,brand,seller,is_prime,product_url,scraped_at,original_price_won,image_url,maker,data_source,naver_category1,naver_category2,naver_category3,naver_category4,search_keyword,category_avg_price,price_to_category_avg_ratio,keyword_avg_price,price_to_keyword_avg_ratio,price_x_rating,rating_x_review_count,price_x_review_count
NAVER_11234205895,코시 무선 휴대용 애플 태블릿 PC 핸드폰 아이패드 미니 블루투스키보드,디지털/가전 > 주변기기 > 키보드 > 무선키보드,11.48,4.1,22.0,89,코시,코시,False,https://smartstore.naver.com/main/products/692028242,2025-09-23 00:52:03.402973,15500,https://shopping-phinf.pstatic.net/main_1123420/11234205895.6.jpg,Unknown,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.21132344778368092,54.4031,0.21101738687685076,47.068,90.19999999999999,252.56
NAVER_53530167724,"앱코 AS104 오피스네비게이터 3모드 기계식 키보드 화이트, 딥 사운드축",디지털/가전 > 주변기기 > 키보드 > 무선키보드,73.33,3.9,106.0,31,앱코,네이버,False,https://search.shopping.naver.com/catalog/53530167724,2025-09-23 00:52:03.402979,99000,https://shopping-phinf.pstatic.net/main_5353016/53530167724.20250916142526.jpg,앱코,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,1.3498561346670142,54.4031,1.3479011306340998,285.98699999999997,413.4,7772.98
NAVER_88547796198,"AULA F108 유무선 독거미 한글 기계식 키보드 펀키스 국내 정품 올리비아 화이트, KTT 저소음바다축",디지털/가전 > 주변기기 > 키보드 > 무선키보드,60.74,4.2,42.0,63,AULA,펀키스,False,https://smartstore.naver.com/main/products/11003290102,2025-09-23 00:52:03.402986,82000,https://shopping-phinf.pstatic.net/main_8854779/88547796198.2.jpg,AULA,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,1.1180998448066881,54.4031,1.116480494677693,255.10800000000003,176.4,2551.08
NAVER_53549203287,"지클릭커 슈퍼히어로 SPK100 저소음 무선 블루투스 기계식 키보드 레트로 레드, 저소음 적축",디지털/가전 > 주변기기 > 키보드 > 무선키보드,29.48,4.1,26.0,46,지클릭커,네이버,False,https://search.shopping.naver.com/catalog/53549203287,2025-09-23 00:52:03.402992,39800,https://shopping-phinf.pstatic.net/main_5354920/53549203287.20250807134608.jpg,지클릭커,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.5426668328103583,54.4031,0.5418808854642474,120.868,106.6,766.48
NAVER_54748753441,"QSENN Q104 PBT 블루퍼플, 퍼플축",디지털/가전 > 주변기기 > 키보드 > 무선키보드,38.74,4.0,35.0,52,QSENN,네이버,False,https://search.shopping.naver.com/catalog/54748753441,2025-09-23 00:52:03.402997,52300,https://shopping-phinf.pstatic.net/main_5474875/54748753441.20250513175419.jpg,QSENN,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.7131245964407491,54.4031,0.712091774181986,154.96,140.0,1355.9
NAVER_88547826011,"AULA F108 유무선 독거미 한글 기계식 키보드 펀키스 국내 정품 스카이 블랙, KTT 저소음바다축",디지털/가전 > 주변기기 > 키보드 > 무선키보드,60.74,4.1,75.0,74,AULA,펀키스,False,https://smartstore.naver.com/main/products/11003319915,2025-09-23 00:52:03.403003,82000,https://shopping-phinf.pstatic.net/main_8854782/88547826011.1.jpg,AULA,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,1.1180998448066881,54.4031,1.116480494677693,249.034,307.5,4555.5
NAVER_53531271316,"로지텍 K270 무선 키보드 블랙, 멤브레인",디지털/가전 > 주변기기 > 키보드 > 무선키보드,19.93,3.8,50.0,116,로지텍,네이버,False,https://search.shopping.naver.com/catalog/53531271316,2025-09-23 00:52:03.403009,26900,https://shopping-phinf.pstatic.net/main_5353127/53531271316.20250313165155.jpg,로지텍,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.36687075908787115,54.4031,0.3663394181581564,75.734,190.0,996.5
NAVER_89628296787,"AULA F87Pro 유무선 독거미 한글 기계식 키보드 펀키스 국내 정품 인디고 블랙, 저소음 솜사탕축",디지털/가전 > 주변기기 > 키보드 > 무선키보드,49.63,4.2,73.0,119,AULA,펀키스,False,https://smartstore.naver.com/main/products/12083786082,2025-09-23 00:52:03.403015,67000,https://shopping-phinf.pstatic.net/main_8962829/89628296787.jpg,AULA,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.9135873443818889,54.4031,0.912264190827361,208.44600000000003,306.6,3622.9900000000002
NAVER_53527631593,"지클릭커 오피스프로 저소음 무선 키보드 WK10 블랙, 멤브레인",디지털/가전 > 주변기기 > 키보드 > 무선키보드,12.81,3.9,10.0,34,지클릭커,네이버,False,https://search.shopping.naver.com/catalog/53527631593,2025-09-23 00:52:03.403020,17300,https://shopping-phinf.pstatic.net/main_5352763/53527631593.20250513112030.jpg,지클릭커,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.23580604234398542,54.4031,0.23546452316136396,49.959,39.0,128.1
NAVER_55947669707,"한성컴퓨터 GK898B PRO 염료승화 EDITION 8K 무접점키보드 퍼플 하트, 무접점(정전용량)",디지털/가전 > 주변기기 > 키보드 > 무선키보드,117.23,4.8,170.0,14,한성컴퓨터,네이버,False,https://search.shopping.naver.com/catalog/55947669707,2025-09-23 00:52:03.403027,158260,https://shopping-phinf.pstatic.net/main_5594766/55947669707.20250804141839.jpg,한성컴퓨터,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,2.1579658348154105,54.4031,2.1548404410778064,562.704,816.0,19929.100000000002
NAVER_53683755077,"지클릭커 오피스프로 OPK50 사일런스 M RGB 무소음 방수 키보드 Greenwich CR1, 멤브레인",디지털/가전 > 주변기기 > 키보드 > 유선키보드,15.85,3.9,97.0,66,지클릭커,네이버,False,https://search.shopping.naver.com/catalog/53683755077,2025-09-23 00:52:03.403033,21400,https://shopping-phinf.pstatic.net/main_5368375/53683755077.20250630094827.jpg,지클릭커,naver_shopping_search,디지털/가전,주변기기,키보드,유선키보드,키보드,54.54942857142857,0.29056216380425615,54.4031,0.29134369181167985,61.815,378.3,1537.45
NAVER_89304880557,접이식 블루투스 키보드 휴대용 갤럭시탭 아이패드 핸드폰 태블릿 무선 가벼운 미니 키보드,디지털/가전 > 주변기기 > 키보드 > 무선키보드,14.0,3.5,62.0,91,엑토,위즈플래닛,False,https://smartstore.naver.com/main/products/11760369970,2025-09-23 00:52:03.403039,18900,https://shopping-phinf.pstatic.net/main_8930488/89304880557.1.jpg,엑토,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.25771152168741573,54.4031,0.2573382766790863,49.0,217.0,868.0
NAVER_53529119864,"커세어 K70 PRO TKL MGX 래피드트리거 게이밍 기계식 키보드 화이트, 마그네틱축",디지털/가전 > 주변기기 > 키보드 > 유선키보드,157.7,4.3,58.0,15,커세어,네이버,False,https://search.shopping.naver.com/catalog/53529119864,2025-09-23 00:52:03.403045,212900,https://shopping-phinf.pstatic.net/main_5352911/53529119864.20250410162713.jpg,커세어,naver_shopping_search,디지털/가전,주변기기,키보드,유선키보드,키보드,54.54942857142857,2.890956039869476,54.4031,2.898731873735136,678.1099999999999,249.39999999999998,9146.599999999999
NAVER_53599801011,"로지텍 K380 (벌크) 차콜 그레이, 팬터그래프",디지털/가전 > 주변기기 > 키보드 > 무선키보드,18.89,3.9,80.0,111,로지텍,네이버,False,https://search.shopping.naver.com/catalog/53599801011,2025-09-23 00:52:03.403051,25500,https://shopping-phinf.pstatic.net/main_5359980/53599801011.20250317173045.jpg,로지텍,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.3477264746196631,54.4031,0.34722286046199574,73.671,312.0,1511.2
NAVER_53644690867,"지클릭커 오피스프로 WK50 사일런스 M RGB 무소음 방수 무선 블루투스 키보드 87키 Greenwich RC1, 멤브레인",디지털/가전 > 주변기기 > 키보드 > 무선키보드,20.3,4.3,66.0,32,지클릭커,네이버,False,https://search.shopping.naver.com/catalog/53644690867,2025-09-23 00:52:03.403057,27400,https://shopping-phinf.pstatic.net/main_5364469/53644690867.20250321112414.jpg,지클릭커,naver_shopping_search,디지털/가전,주변기기,키보드,무선키보드,키보드,54.32430769230769,0.37368170644675286,54.4031,0.3731405011846751,87.29,283.8,1339.8
